项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,无数据数量,无数据百分比,其他数量,其他百分比,总器件数
24B-W037-277TC2-20250528-D24,正常,4_np2.5v,-2.5v~2.5v,130,12.7%,0,0.0%,0,0.0%,894,87.3%,0,0.0%,0,0.0%,1024
24B-W037-277TC2-20250528-D24,正常,5_n3p2.5v,-3v~2.5v,427,41.7%,0,0.0%,0,0.0%,597,58.3%,0,0.0%,0,0.0%,1024
24B-W037-277TC2-20250528-D24,正常,6_n3.3p3v,-3.3v~3v,299,29.2%,0,0.0%,0,0.0%,724,70.8%,0,0.0%,0,0.0%,1023
24B-W037-277TC2-20250528-D24 (1),正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,53,100.0%,0,0.0%,0,0.0%,53
24B-W037-277TC2-20250528-D24 (1),正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,3,100.0%,0,0.0%,0,0.0%,3
24B-W038-280TC2-20250617-D24,正常,6_np3.3v,-3.3v~3.3v,0,0.0%,9,3.3%,0,0.0%,263,96.7%,0,0.0%,0,0.0%,272
24B-W038-281TC2-20250613-D23,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-281TC2-20250613-D23,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-281TC2-20250613-D23,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-281TC2-20250613-D23,正常,4_np2.5v,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-281TC2-20250613-D23,正常,5_np3v,-3v~3v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-281TC2-20250613-D23,正常,6_np3.3v,-3.3v~3.3v,0,0.0%,0,0.0%,0,0.0%,738,100.0%,0,0.0%,0,0.0%,738
24B-W038-282TC2-20250613-D25,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-282TC2-20250613-D25,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-282TC2-20250613-D25,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-282TC2-20250613-D25,正常,4_np2.5v,-2.5v~2.5v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
24B-W038-282TC2-20250613-D25,正常,5_np3v,-3v~3v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W038-282TC2-20250613-D25,正常,6_np3.3V,-3.3v~3.3v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
24B-W039-285TC2-20251110-D22,正常,6_np3.3v,-3.3v~3.3v,1,1.3%,0,0.0%,0,0.0%,78,98.7%,0,0.0%,0,0.0%,79
24BW034-258TC2-20250512-D24,空文件夹,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24BW037_ 275TC2_20250522,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24BW18-232TC2_20250220,正常,1_np1v,-1v~1v,0,0.0%,32,3.1%,0,0.0%,992,96.9%,0,0.0%,0,0.0%,1024
24BW18-232TC2_20250220,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,32,3.1%,0,0.0%,992,96.9%,0,0.0%,0,0.0%,1024
24BW18-232TC2_20250220,正常,3_np2v,-2v~2v,0,0.0%,32,3.1%,0,0.0%,992,96.9%,0,0.0%,0,0.0%,1024
24BW18-232TC2_20250220,正常,4_np3,-3v~3v,0,0.0%,32,3.1%,0,0.0%,992,96.9%,0,0.0%,0,0.0%,1024
24BW25-239TC2_20250307_D23,正常,1_np1v,-1v~1v,0,0.0%,160,15.6%,0,0.0%,864,84.4%,0,0.0%,0,0.0%,1024
24BW25-239TC2_20250307_D23,正常,2_np2v,-2v~2v,0,0.0%,128,12.5%,0,0.0%,896,87.5%,0,0.0%,0,0.0%,1024
24BW25-239TC2_20250307_D23,正常,3_np3.3v,-3.3v~3.3v,0,0.0%,128,12.5%,0,0.0%,896,87.5%,0,0.0%,0,0.0%,1024
24BW25-239TC2_20250307_D23,正常,4_np3.6v,-3.6v~3.6v,0,0.0%,128,12.5%,0,0.0%,896,87.5%,0,0.0%,0,0.0%,1024
24BW25-240TC2_20250225,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24BW28-245TC2_20250228,正常,1_np1v,-1v~1v,4,0.4%,0,0.0%,1,0.1%,1019,99.5%,0,0.0%,0,0.0%,1024
24BW28-245TC2_20250228,正常,2_np1.5,-1.5v~1.5v,9,0.9%,0,0.0%,1,0.1%,1014,99.0%,0,0.0%,0,0.0%,1024
24BW28-245TC2_20250228,正常,3_np2,-2v~2v,38,3.7%,0,0.0%,0,0.0%,986,96.3%,0,0.0%,0,0.0%,1024
24BW28-245TC2_20250228,正常,4_np2.5,-2.5v~2.5v,81,7.9%,32,3.1%,0,0.0%,911,89.0%,0,0.0%,0,0.0%,1024
24BW28-245TC2_20250228,正常,5_np3-loop 10 times,-3v~3v-loop 10 times,39,3.8%,32,3.1%,0,0.0%,953,93.1%,0,0.0%,0,0.0%,1024
24BW28-245TC2_20250228,正常,6_np3.3-loop 10 times,-3.3v~3.3v-loop 10 times,148,14.5%,32,3.1%,0,0.0%,844,82.4%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,1_np1v,-1v~1v,11,1.1%,0,0.0%,0,0.0%,1013,98.9%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,2_np1.5v,-1.5v~1.5v,164,16.0%,0,0.0%,0,0.0%,860,84.0%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,3_np2,-2v~2v,504,49.2%,0,0.0%,0,0.0%,520,50.8%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,4_n2.5p1.5v,-2.5v~1.5v,680,66.4%,0,0.0%,0,0.0%,344,33.6%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,5_n2.5p2,-2.5v~2v,724,70.7%,0,0.0%,0,0.0%,300,29.3%,0,0.0%,0,0.0%,1024
24BW36-270TC2-20250512-D22,正常,6_n3p2,-3v~2v,600,58.6%,0,0.0%,0,0.0%,424,41.4%,0,0.0%,0,0.0%,1024
24BW8-191TC2_20250306,正常,1_np1v,-1v~1v,55,5.4%,416,40.6%,0,0.0%,553,54.0%,0,0.0%,0,0.0%,1024
24BW8-191TC2_20250306,正常,3_np2v,-2v~2v,63,6.2%,416,40.6%,0,0.0%,545,53.2%,0,0.0%,0,0.0%,1024
24BW8-191TC2_20250306,正常,4_n3p2v,-3v~2v,61,6.0%,416,40.6%,0,0.0%,547,53.4%,0,0.0%,0,0.0%,1024
24BW8-191TC2_20250306,正常,5_n3p3,-3v~3v,62,6.1%,416,40.6%,0,0.0%,546,53.3%,0,0.0%,0,0.0%,1024
24BW8-191TC2_20250306,正常,6_n3.3p3v,-3.3v~3v,63,6.2%,416,40.6%,0,0.0%,545,53.2%,0,0.0%,0,0.0%,1024
25B-W043-287TC2-20251127-D27-short-recover-not measure,空文件夹,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W043-288TC2-20251201-D25,正常,1_np1v,-1v~1v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
25B-W043-288TC2-20251201-D25,正常,2_np1.5v,-1.5v~1.5v,4,0.4%,0,0.0%,0,0.0%,1020,99.6%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics,正常,1_np1v,-1v~1v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics,正常,2_np1.5v,-1.5v~1.5v,5,0.5%,0,0.0%,0,0.0%,1019,99.5%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics,正常,3_np2v,-2v~2v,4,0.4%,0,0.0%,0,0.0%,1020,99.6%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics,正常,4_np2.5v,-2.5v~2.5v,9,0.9%,0,0.0%,0,0.0%,1015,99.1%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics,正常,5_np3v,-3v~3v,14,1.4%,0,0.0%,0,0.0%,1010,98.6%,0,0.0%,0,0.0%,1024
25B-W051-319TC2-20251223-D24 only statistics.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W051-320TC2-20251215-D26,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,4_np2.5v,-2.5v~2.5v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
