所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W034-260TC2-20250515-D23,8_n3.3p3.3,-3.3v~3.3v,正常,1025,1024,1.5860546875,1.6,0.6958206902492793,0.03,3.27,3.24,1.6386577255370527,1023,-2.2598240469208215,-2.38,0.8359284000137545,-3.3,-0.03,3.27,1.9686113820323918
24B-W034-261TC2-20250630-D25,1_np1v,-1v~1v,正常,1024,1024,0.522265625,0.52,0.29592531578422643,0.01,1.0,0.99,0.6969041186718532,1024,-0.519931640625,-0.53,0.2836152847274456,-1.0,-0.01,0.99,0.6679139955331345
24B-W034-261TC2-20250630-D25,2_np1.5v,-1.5v~1.5v,正常,1025,1024,0.7848437500000001,0.81,0.43689226746697407,0.03,1.5,1.47,1.028881289884724,1023,-0.8275659824046921,-0.85,0.4125469068938212,-1.5,-0.03,1.47,0.9715479657349488
24B-W034-261TC2-20250630-D25,3_np2v,-2v~2v,正常,1025,1024,0.9986328124999999,1.02,0.5982297818432013,0.02,2.0,1.98,1.408831136240739,1024,-1.01958984375,-1.02,0.5958082870285225,-2.0,-0.02,1.98,1.4031285159521705
24B-W034-261TC2-20250630-D25,4_np2.5v,-2.5v~2.5v,正常,1025,1024,1.387890625,1.45,0.7374077099833667,0.05,2.5,2.45,1.7365951570108284,1024,-1.4649316406250001,-1.6,0.7567568524558269,-2.5,-0.05,2.45,1.7821623875334724
24B-W034-261TC2-20250630-D25,5_n3p2.5v,-3v~2.5v,正常,1025,1024,1.337529296875,1.38,0.663803025466787,0.05,2.5,2.45,1.5632561249742836,1023,-1.7309384164222874,-1.8,0.9162878712149639,-3.0,-0.03,2.97,2.15785793671124
24B-W034-261TC2-20250630-D25,6_np3v,-3v~3v,正常,1024,1024,1.545615234375,1.53,0.786362259725982,0.03,3.0,2.97,1.8518831216546874,1024,-1.844091796875,-1.95,0.8790769593502621,-3.0,-0.03,2.97,2.0702262392698674
24B-W034-261TC2-20250630-D25,7_np3.3v,-3.3v~3.3v,正常,1025,1024,1.643505859375,1.62,0.8502964315290347,0.03,3.3,3.27,2.002448096250877,1024,-1.88333984375,-1.91,0.9521214558040991,-3.3,-0.03,3.27,2.2422460284186534
24B-W034-262TC2-20250610-D22,3_np2v,-2v~2v,正常,723,723,1.4463347164591978,1.54,0.41043890263456784,0.02,2.0,1.98,0.9665836157044072,723,-1.526085753803596,-1.82,0.5747084322591623,-2.0,-0.02,1.98,1.3534383579703273
24B-W034-262TC2-20250610-D22,4_np2.5v,-2.5v~2.5v,正常,717,716,1.4351256983240226,1.4,0.3641257154134898,0.13,2.5,2.37,0.8575160597987685,715,-2.2060979020979024,-2.33,0.40723741887469905,-2.5,-0.1,2.4,0.9590441214499162
24B-W034-262TC2-20250610-D22,5_n3p2.5,-3v~2.5v,正常,870,870,1.5241379310344827,1.5,0.3831960914132941,0.1,2.5,2.4,0.9024267952783076,870,-2.5475172413793103,-2.79,0.5813315904019717,-3.0,-0.06,2.94,1.3690358953966433
