所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R00.txt,正常,1.155,-0.51,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R01.txt,正常,0.45,-1.215,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R02.txt,正常,1.11,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R03.txt,正常,0.885,-1.275,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R04.txt,正常,0.42,-1.425,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R05.txt,正常,1.17,-1.305,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R06.txt,正常,1.035,-1.035,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R07.txt,正常,1.23,-1.035,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R08.txt,正常,0.21,-1.2,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R09.txt,正常,0.93,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R10.txt,正常,1.095,-0.885,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R11.txt,正常,1.455,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R12.txt,正常,0.09,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R13.txt,正常,0.225,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R14.txt,正常,1.05,-1.23,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_R15.txt,正常,0.825,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L00.txt,正常,0.03,-1.095,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L01.txt,正常,1.02,-1.485,404
