所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W034-261TC2-20250630-D25,1_np1v,-1v~1v,正常,1024,1024,0.522265625,0.52,0.29592531578422643,0.01,1.0,0.99,0.6969041186718532,1024,-0.519931640625,-0.53,0.2836152847274456,-1.0,-0.01,0.99,0.6679139955331345
24B-W034-261TC2-20250630-D25,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.784423828125,0.81,0.43693039731779604,0.03,1.5,1.47,1.0289710856834096,1024,-0.8275488281250001,-0.85,0.4123455871523086,-1.5,-0.03,1.47,0.9710738577436868
24B-W034-261TC2-20250630-D25,3_np2v,-2v~2v,正常,1024,1024,0.9986328125,1.02,0.5982297818432013,0.02,2.0,1.98,1.408831136240739,1024,-1.01994140625,-1.02,0.5954066572289122,-2.0,-0.02,1.98,1.4021826777740882
24B-W034-261TC2-20250630-D25,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.387890625,1.45,0.7374077099833666,0.05,2.5,2.45,1.7365951570108282,1024,-1.4649316406250001,-1.6,0.7567568524558268,-2.5,-0.05,2.45,1.782162387533472
24B-W034-261TC2-20250630-D25,5_n3p2.5v,-3v~2.5v,正常,1024,1024,1.3360644531249999,1.38,0.6632213807977738,0.05,2.5,2.45,1.5618863517787573,1024,-1.73185546875,-1.8,0.9163099499347043,-3.0,-0.03,2.97,2.1579099320962287
24B-W034-261TC2-20250630-D25,6_np3v,-3v~3v,正常,1024,1024,1.545615234375,1.53,0.786362259725982,0.03,3.0,2.97,1.8518831216546874,1024,-1.844091796875,-1.95,0.879076959350262,-3.0,-0.03,2.97,2.070226239269867
24B-W034-261TC2-20250630-D25,7_np3.3v,-3.3v~3.3v,正常,1024,1024,1.6435058593749998,1.62,0.8502964315290347,0.03,3.3,3.27,2.002448096250877,1024,-1.88333984375,-1.91,0.9521214558040991,-3.3,-0.03,3.27,2.2422460284186534
24B-W034-262TC2-20250610-D22,3_np2v,-2v~2v,正常,723,723,1.4463347164591978,1.54,0.41043890263456784,0.02,2.0,1.98,0.9665836157044072,723,-1.526085753803596,-1.82,0.5747084322591623,-2.0,-0.02,1.98,1.3534383579703273
24B-W034-262TC2-20250610-D22,4_np2.5v,-2.5v~2.5v,正常,716,716,1.4330586592178773,1.4,0.3672056673700575,0.13,2.5,2.37,0.8647693466564854,716,-2.2058798882681563,-2.33,0.4069943482887796,-2.5,-0.1,2.4,0.958471690220076
24B-W034-262TC2-20250610-D22,5_n3p2.5,-3v~2.5v,正常,870,870,1.5241379310344827,1.5,0.3831960914132941,0.1,2.5,2.4,0.9024267952783076,870,-2.5475172413793103,-2.79,0.5813315904019717,-3.0,-0.06,2.94,1.3690358953966433
